Fighter name,Ko wins,Ko losses,Submission wins,Submission losses,Decision wins,Decision losses
André Galvão,1,1,3,0,1,1
Marcos Galvão,4,4,1,0,13,7
Marcos Galvão,4,4,1,0,13,7
Manvel Gamburyan,2,4,7,1,6,5
Alex Garcia (fighter),6,2,6,0,3,3
Edgar García,7,2,5,2,2,1
Leonard Garcia,5,0,10,4,3,9
Steve Garcia,7,0,0,1,3,2
Cody Garbrandt,9,3,0,0,2,0
Pablo Garza (fighter),2,0,7,3,3,1
Brian Gassaway,5,0,12,12,10,7
Kelvin Gastelum,6,0,4,1,5,3
Louis Gaudinot,3,1,2,0,3,3
Chad George,5,0,10,6,2,2
Kamen Georgiev,8,3,11,3,6,3
Tiki Ghosn,2,3,2,4,6,0
Cody Gibson,6,0,3,4,7,3
Lance Gibson,1,3,1,1,2,1
Kultar Gill,5,0,7,7,1,1
Bob Gilstrap,0,1,5,1,0,4
Brandon Girtz,3,3,8,2,5,3
Rodney Glunder,12,2,3,12,9,6
Mark Godbeer,9,3,2,2,1,0
Allan Góes,2,4,7,0,1,1
Bakouri Gogitidze,0,0,1,2,0,0
Bryan Goldsby,10,2,1,7,6,7
Sergey Golyaev,6,0,12,9,5,2
Anthony Gomez,3,0,4,0,3,2
Frank Gomez,5,2,3,3,2,1
Mikey Gomez,2,2,13,4,2,6
Ulysses Gomez,0,1,7,1,2,3
Takanori Gomi,14,4,6,8,16,3
Akihiro Gono,7,8,9,4,19,11
Gabriel Gonzaga,8,10,8,0,1,2
Fernando Gonzalez (fighter),9,2,8,5,10,10
Ismael Gonzalez (fighter),3,2,1,7,2,2
Lyman Good,10,0,3,1,7,4
Herbert Goodman,7,3,8,2,3,6
Gary Goodridge,14,11,8,8,1,4
Gerard Gordeau,2,0,0,2,0,4
Eddie Gordon (fighter),3,1,1,1,4,5
Jared Gordon,6,3,2,0,7,0
Jonathan Goulet,12,9,8,3,3,0
Wilson Gouveia,7,6,7,0,1,2
Damian Grabowski,8,2,11,1,3,2
Daniel Gracie,0,2,4,0,1,2
Neiman Gracie,0,0,8,0,1,1
Ralek Gracie,0,0,2,0,1,1
Renzo Gracie,1,2,9,1,3,4
Rickson Gracie,0,0,11,0,0,0
Rodrigo Gracie,0,0,2,0,4,2
Roger Gracie,1,1,6,0,1,1
Rolles Gracie Jr.,0,4,8,0,0,0
Royce Gracie,1,2,12,0,2,0
Royler Gracie,0,2,4,1,1,2
Ryan Gracie,2,1,2,0,1,1
Peter Graham (fighter),11,0,0,8,1,2
TJ Grant,4,0,13,1,4,4
Sergej Grecicho,2,0,20,3,3,8
Bobby Green (fighter),8,2,9,2,7,5
Desmond Green,6,0,1,2,16,6
Matt Grice,6,2,4,2,5,1
Forrest Griffin,3,5,7,0,9,2
Tyson Griffin,6,3,3,0,8,5
Chad Griggs,9,0,2,3,0,0
Josh Grispi,6,1,7,2,1,2
Kendall Grove,7,8,10,4,6,6
Neil Grove,12,1,0,3,0,4
Vik Grujic,2,2,2,1,2,3
Fabrício Guerreiro,5,1,14,1,3,3
Shannon Gugerty,4,1,11,3,0,3
Clay Guida,7,2,13,10,14,6
Jason Guida,6,6,10,8,3,14
Melvin Guillard,21,6,2,9,9,6
Marcelo Guimarães,1,2,2,0,6,0
John Gunderson,4,2,28,6,3,8
Fábio Gurgel,0,0,3,0,0,2
Jorge Gurgel,0,2,10,2,4,6
Alexander Gustafsson,11,2,3,2,4,2
Mike Guymon,5,1,8,4,2,1
Keith Hackney,1,0,1,2,0,0
Unamed,7,1,3,0,3,4
Tim Hague,15,8,4,0,2,5
Rich Hale,10,3,8,0,3,4
Mark Hall (fighter),2,3,3,3,0,0
Ryan Hall (grappler),2,0,3,0,3,1
Uriah Hall,11,4,1,0,3,5
Dennis Hallman,4,11,41,0,7,9
Piotr Hallmann,7,3,7,0,4,2
Brandon Halsey,3,4,4,1,5,0
Kazuhiro Hamanaka,1,5,2,2,1,0
Matt Hamill,8,4,0,1,4,3
Anthony Hamilton (fighter),8,4,2,3,6,2
Anthony Hamlett,5,4,1,9,2,1
Jared Hamman,11,4,2,1,1,1
Volk Han,1,2,10,3,3,2
Antoni Hardonk,6,2,2,1,0,3
Dan Hardy,12,1,4,4,9,4
Gerald Harris (fighter),11,1,6,2,8,5
Phil Harris (fighter),4,5,13,5,5,2
Walt Harris (fighter),13,2,0,1,0,3
Andre Harrison,3,0,2,0,16,1
Dale Hartt,4,1,2,2,0,0
Clay Harvison,6,2,4,4,3,1
Lee Hasdell,9,4,5,7,1,5
Carlton Haselrig,3,2,0,0,0,0
Chris Haseman,2,7,14,4,3,6
Daiki Hata,9,0,1,0,7,10
John Hathaway,5,1,4,0,8,1
Rick Hawn,11,1,0,1,10,2
Tomoaki Hayama,0,0,2,1,0,2
Mike Hayes (fighter),7,1,7,0,6,11
Josh Haynes,6,5,9,1,2,5
Dustin Hazelett,1,4,9,2,2,1
James Head (fighter),4,1,3,2,2,1
Pat Healy (fighter),7,7,15,6,12,11
Ryan Healy,13,4,6,1,6,9
David Heath (fighter),7,1,8,3,3,3
Jake Hecht,3,0,5,1,3,3
Nick Hein,1,2,4,1,9,2
Marcin Held,4,1,14,1,8,5
Benson Henderson,3,1,11,2,14,5
Dan Henderson,16,3,2,4,14,8
Johny Hendricks,8,3,1,0,9,5
Luis Henrique (fighter),3,3,6,0,3,3
Dave Herman (fighter),15,4,5,1,2,0
Ed Herman (fighter),7,3,13,6,4,5
Jack Hermansson,11,2,5,2,4,1
Geane Herrera,2,0,6,0,2,3
Heath Herring,7,4,16,2,4,10
Jared Hess (fighter),3,3,8,0,0,1
Jon Hess (fighter),1,1,0,0,0,0
Clint Hester,7,2,1,3,3,1
Jimy Hettes,0,2,10,0,1,1
Conor Heun,1,1,3,0,5,4
Marcus Hicks,2,2,8,0,0,2
Jay Hieron,6,4,7,0,10,3
Jason High,5,4,8,3,8,1
Corey Hill,2,3,3,3,1,3
Branden Lee Hinkle,10,2,5,8,2,1
Hatsu Hioki,4,3,13,1,12,7
Mizuto Hirota,10,1,0,1,8,9
Matt Hobar,1,2,4,0,4,1
Bobby Hoffman,15,1,14,5,7,4
Sam Hoger,3,0,6,1,1,3
Andrew Holbrook,1,3,9,0,2,0
Mark Holata,3,4,5,1,4,0
Chris Holdsworth,0,0,5,0,1,0
Roger Hollett,4,1,7,1,2,3
Max Holloway,10,0,2,1,9,3
Paddy Holohan,1,0,8,1,3,1
Mark Hominick,9,3,7,5,4,4
Chris Honeycutt,5,1,1,0,5,2
Satoshi Honma,1,2,3,2,0,2
Darrell Horcher,6,1,1,1,6,2
Kyoji Horiguchi,14,1,3,1,11,1
Jeremy Horn,16,2,63,9,12,11
Dan Hornbuckle,9,0,11,3,4,6
Chris Horodecki,7,4,4,2,10,1
Matt Horwich,6,1,21,5,3,19
Jeff Hougland,1,1,7,3,2,2
Harold Howard,1,3,0,0,0,0
John Howard (fighter),10,4,7,2,11,9
Tom Howard (wrestler),0,1,0,0,0,0
Shane Howell,4,1,7,5,2,4
Roger Huerta,12,5,5,2,5,4
Mark Hughes (fighter),2,0,2,1,2,1
Matt Hughes (fighter),16,5,19,4,10,0
Matt Hume,2,0,3,2,0,3
Mark Hunt,10,5,0,7,3,2
Solomon Hutcherson,5,4,4,2,2,1
Al Iaquinta,7,0,1,3,6,3
Fabiano Iha,3,3,6,0,0,2
Hisao Ikeda,1,2,2,0,7,3
Seichi Ikemoto,8,2,4,6,9,11
Junji Ikoma,1,3,9,2,4,9
Mikhail Ilyukhin,0,2,28,9,2,0
Toby Imada,8,4,20,6,2,7
Masakazu Imanari,1,4,26,0,10,14
Brad Imes,2,3,9,1,2,3
Egan Inoue,3,3,8,0,1,4
Enson Inoue,3,5,9,1,0,2
Naoki Inoue,0,0,7,0,4,2
Takeshi Inoue (mixed martial artist),11,1,4,1,9,10
James Irvin (fighter),12,5,3,4,1,1
Mitsuhiro Ishida,3,4,2,1,15,3
Satoshi Ishii,2,5,10,0,10,4
Yoshimasa Ishikawa,1,2,1,3,1,0
Shintaro Ishiwatari,9,4,2,1,15,2
Takashi Ishizaki,0,0,0,2,1,2
Kendo Kashin,1,4,0,1,0,0
Wallid Ismail,2,1,5,0,2,2
Leandro Issa,2,4,11,2,4,2
Junji Ito (fighter),8,0,1,3,4,2
Takenori Ito,0,0,2,1,4,2
Yuji Ito (fighter),2,2,2,2,1,0
Blagoy Ivanov,6,0,6,1,6,1
Hiroshi Izumi,2,2,0,0,2,0
Yves Jabouin,11,5,1,4,8,2
Damon Jackson,3,2,12,1,1,0
Jeremy Jackson (fighter),6,1,2,4,1,0
Quinton Jackson,19,3,5,2,14,7
Dustin Jacoby,8,1,1,2,1,2
Ryan Janes,2,0,6,1,2,2
Keith Jardine,8,6,2,0,7,5
